bus_id,station_id,voltage,dc,symbol,under_construction,lon,lat
1,3,380,f,Substation,f,39.726563,21.665086
2,4,380,f,Substation,f,40.186615,21.851302
3,6,380,f,Substation,f,40.461273,21.719956
4,11,380,f,Substation,f,39.508209,24.718143
5,12,N/A,t,Substation,f,39.635925,24.77676
6,15,380,f,Substation,f,39.5755,24.403386
7,16,380,f,Substation,f,39.38736,23.874536
8,17,380,f,Substation,f,39.883118,22.75972
9,18,380,f,Substation,f,39.719696,22.27766
10,19,380,f,Substation,f,39.651031,22.243344
11,21,380,f,Substation,f,39.711456,22.039822
12,22,380,f,Substation,f,39.715576,21.986348
13,23,380,f,Substation,f,39.747162,22.159427
14,24,380,f,Substation,f,40.02594,22.081822
15,25,380,f,Substation,f,40.156403,22.136532
16,26,380,f,Substation,f,40.301971,22.093275
17,28,380,f,Substation,f,40.402222,21.945593
18,30,380,f,Substation,f,13.215179,32.760717
19,31,220,f,Substation,f,33.825531,26.712494
20,32,220,f,Substation,t,34.554749,25.591994
21,33,220,f,Substation,t,35.088959,24.509642
22,34,220,f,Substation,t,35.305939,23.779061
23,35,380,f,Substation,f,37.53891,24.782994
24,36,380,f,Substation,f,38.886108,24.442149
25,38,380,f,Substation,f,38.908081,23.517404
26,40,380,f,Substation,f,39.291229,22.969773
27,41,220,f,Substation,t,28.981934,25.899997
28,42,220,f,Substation,f,29.976196,25.985206
29,43,220,f,Substation,f,31.125641,26.93309
30,44,220,f,Substation,f,31.334381,26.760326
31,45,132,f,Substation,f,31.710663,26.584843
32,46,220,f,Substation,f,31.68045,26.473032
33,47,132,f,Substation,f,32.281952,26.23307
36,48,500,f,Substation,f,32.303925,26.001253
35,48,220,f,Substation,f,32.303925,26.001253
34,48,132,f,Substation,f,32.303925,26.001253
38,50,220,f,Substation,f,32.649994,26.345114
37,50,132,f,Substation,f,32.649994,26.345114
39,51,220,f,Substation,f,32.545624,26.197341
41,52,220,f,Substation,f,32.725525,26.115986
40,52,132,f,Substation,f,32.725525,26.115986
42,53,132,f,Substation,f,32.941132,26.029638
44,54,220,f,Substation,f,32.663727,25.733107
43,54,132,f,Substation,f,32.663727,25.733107
46,56,132,f,Substation,f,32.538757,25.285679
47,58,132,f,Substation,f,32.610168,25.064453
48,59,220,f,Substation,f,32.836761,24.859026
49,60,132,f,Substation,f,32.941132,25.110471
50,61,132,f,Substation,f,33.038635,24.554618
51,62,220,f,Substation,f,31.284943,22.745789
52,63,220,f,Substation,f,31.426392,23.094891
53,64,220,f,Substation,f,31.525269,22.991267
54,65,220,f,Substation,f,31.343994,22.840743
55,66,220,f,Substation,f,31.309662,22.627955
56,67,220,f,Substation,f,31.378326,22.712856
57,68,220,f,Substation,f,31.470337,22.811631
58,69,220,f,Substation,f,31.239624,22.555684
59,70,220,f,Substation,f,31.606293,22.362776
60,71,220,f,Substation,f,31.858978,22.64063
62,73,220,f,Substation,f,32.860107,24.028905
